Datetime	hanle_cloud%	merak_cloud%	Hanle pblh merra	Merak pblh merra
2018-02-02 04:55:00	8.125	39.625	0.908	0.52
2018-02-02 08:10:00	3.571	15.812	2.362	2.203
2018-02-02 17:35:00	88.8	95.048	2.625	1.436
2018-02-02 20:15:00	98.857	96.429	1.396	0.916
2018-02-03 05:40:00	63.804	48.594	1.859	1.75
2018-02-03 07:15:00	76.25	66.71	2.405	2.178
2018-02-03 16:40:00	20.444	37.319	1.317	1.61
2018-02-03 20:55:00	8.986	27.949	0.127	0.2
2018-02-04 04:45:00	38.667	-99.9	0.917	0.636
2018-02-04 06:20:00	2.4	22.08	2.865	2.116
2018-02-04 08:00:00	6.863	14.337	3.019	2.73
2018-02-04 17:25:00	100.0	100.0	1.069	1.682
2018-02-04 20:00:00	100.0	100.0	1.174	1.61
2018-02-05 05:25:00	94.845	87.914	2.807	2.884
2018-02-05 08:40:00	100.0	100.0	2.266	2.505
2018-02-05 16:30:00	100.0	99.355	1.955	1.471
2018-02-05 20:45:00	100.0	98.863	2.423	1.492
2018-02-06 06:10:00	99.474	97.3	2.938	2.629
2018-02-06 07:45:00	88.615	94.889	2.832	2.601
2018-02-06 17:10:00	40.514	42.706	1.189	0.263
2018-02-06 19:50:00	26.546	-99.9	1.231	0.231
2018-02-06 21:25:00	6.4	86.286	0.145	0.321
2018-02-06 21:30:00	12.0	-99.9	0.145	0.321
2018-02-07 05:15:00	25.892	100.0	2.082	2.246
2018-02-07 08:30:00	85.951	100.0	2.675	2.398
2018-02-07 16:15:00	60.432	94.737	0.469	1.025
2018-02-07 20:30:00	-99.9	93.895	0.712	1.141
2018-02-07 20:35:00	85.293	-99.9	0.712	1.141
2018-02-08 05:55:00	29.867	78.032	1.984	1.764
2018-02-08 07:35:00	34.476	94.361	2.468	2.107
2018-02-08 17:00:00	30.208	70.408	0.798	1.286
2018-02-08 21:15:00	31.243	78.769	0.121	0.989
2018-02-09 05:00:00	27.417	58.667	1.761	1.744
2018-02-09 08:15:00	91.881	77.294	2.465	2.359
2018-02-09 16:05:00	22.074	47.167	1.367	1.765
2018-02-09 17:40:00	74.0	59.2	0.752	1.554
2018-02-09 20:20:00	25.5	52.97	0.3	1.043
2018-02-10 05:45:00	70.805	82.581	2.285	1.963
2018-02-10 07:20:00	85.854	99.795	2.856	2.598
2018-02-10 16:45:00	35.842	83.683	1.476	1.179
2018-02-10 21:05:00	57.931	85.723	1.406	1.504
2018-02-11 04:50:00	100.0	82.074	1.426	1.403
2018-02-11 06:25:00	-99.9	100.0	2.043	1.977
2018-02-11 06:30:00	-99.9	100.0	2.043	1.977
2018-02-11 08:05:00	93.792	96.21	2.186	2.309
2018-02-11 17:30:00	94.5	99.889	0.188	1.023
2018-02-11 20:10:00	53.395	92.0	0.759	1.101
2018-02-12 05:35:00	100.0	100.0	2.094	2.777
2018-02-12 07:10:00	100.0	100.0	2.862	2.898
2018-02-12 08:50:00	-99.9	100.0	2.805	2.849
2018-02-12 16:35:00	98.987	100.0	0.867	1.18
2018-02-12 20:50:00	100.0	100.0	1.176	1.321
2018-02-13 06:15:00	100.0	99.294	2.194	1.961
2018-02-13 07:50:00	91.4	92.404	2.34	2.13
2018-02-13 17:15:00	66.618	65.454	0.321	0.316
2018-02-13 19:55:00	76.667	85.833	0.071	0.139
2018-02-13 21:35:00	-99.9	100.0	0.055	0.066
2018-02-14 05:20:00	40.909	52.55	2.102	1.656
2018-02-14 08:35:00	38.857	48.222	2.773	2.242
2018-02-14 16:20:00	44.833	79.5	0.142	0.839
2018-02-14 20:40:00	54.846	59.884	0.056	0.604
2018-02-15 06:05:00	38.083	92.769	1.87	1.749
2018-02-15 07:40:00	52.831	96.632	2.275	2.146
2018-02-15 17:05:00	51.229	76.81	0.331	0.953
2018-02-15 21:20:00	51.571	100.0	0.499	0.531
2018-02-16 05:10:00	85.825	97.407	1.717	2.352
2018-02-16 08:25:00	77.852	100.0	3.04	2.498
2018-02-16 16:10:00	99.355	100.0	1.874	1.279
