year	month	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1996	11	0.7840595	0.8661432	0.17277613	0.15884474
1996	12	0.48961467	0.45945302	0.06365564	0.045110717
1997	1	0.39598608	0.39446113	0.031255372	0.02461731
1997	2	0.5533505	0.6230302	0.11704077	0.06645447
1997	3	0.73631126	0.8783282	0.35093603	0.44736743
1997	4	0.76961714	0.6634116	0.30137026	0.41237563
1997	5	1.2762227	1.1217853	1.1338325	0.83261716
1997	6	0.9168289	0.88906753	0.7552269	0.7374209
1997	7	0.94945675	1.1669724	0.75887823	0.88827246
1997	8	0.88188434	0.9433094	0.75602436	0.8025999
1997	9	0.9177676	0.97444415	0.63913965	0.60957116
1997	10	0.9335378	0.89121747	0.7713851	0.676451
1997	11	0.8231809	0.79462194	0.35114586	0.35638037
1997	12	0.37336832	0.4174678	0.052785646	0.04642871
1998	1	0.4414863	0.5621876	0.11884546	0.12398046
1998	2	0.5807438	0.67586786	0.25318944	0.27058032
1998	3	0.63385624	0.7945896	0.29402566	0.45021617
1998	4	0.83509076	0.6655286	0.34703285	0.36326808
1998	5	1.1640098	1.1069326	0.86140937	0.75536317
1998	6	1.0195163	1.029485	0.89985335	0.8054061
1998	7	1.2495657	1.4201626	0.93901074	1.0742857
1998	8	1.0751309	1.28728	0.80038595	1.0035796
1998	9	0.88254553	0.8806994	0.7589202	0.70472497
1998	10	0.63529235	0.5418829	0.26208693	0.1354602
1998	11	0.3574217	0.27677578	0.01883252	0.014158081
1998	12	0.39863864	0.35758725	0.0209729	0.01526355
1999	1	0.5689354	0.6692686	0.16371068	0.14119995
1999	2	0.58581007	0.62896365	0.20076966	0.18554553
1999	3	0.98069984	1.127782	0.63506866	0.9442253
1999	4	0.99478525	0.97057825	0.35739928	0.47326064
1999	5	1.046761	1.099499	0.83182096	0.9100839
1999	6	1.2292265	1.2565485	1.0912337	1.0837673
1999	7	1.127246	1.1401895	0.85196626	0.8798965
1999	8	0.82846415	0.85220164	0.69109774	0.64796436
1999	9	0.76166326	0.8669596	0.5835303	0.61756444
1999	10	0.9642709	1.0083069	0.51843584	0.51471496
1999	11	0.7825773	0.8574527	0.15334436	0.20399818
1999	12	0.43052113	0.3730046	0.01820288	0.014795898
2000	1	0.44250336	0.5132793	0.12014648	0.103657104
2000	2	0.74529064	0.80200034	0.24672607	0.13716076
2000	3	0.81360257	0.9407049	0.40495068	0.52466404
2000	4	1.0303515	0.84081525	0.5425681	0.56152654
2000	5	1.1089108	1.1081095	0.8356822	0.83716667
2000	6	1.073581	1.1995873	0.97002614	1.0153568
2000	7	0.90901786	1.0451626	0.7356272	0.8129742
2000	8	0.9182508	0.967675	0.7437693	0.8096578
2000	9	1.0292522	1.1130075	0.76055706	0.80230236
2000	10	1.0015326	1.0782338	0.36667454	0.49439162
2000	11	0.84548974	0.91025674	0.1844436	0.19702527
2000	12	0.39788622	0.3740521	0.03532654	0.026828248
2001	1	0.56090844	0.6895967	0.1063385	0.13563025
2001	2	0.6664141	0.8413872	0.19707641	0.22989124
2001	3	0.5813319	0.6141082	0.23228857	0.22109008
2001	4	0.6379302	0.5662605	0.25012562	0.3056997
2001	5	0.97790384	1.0978875	0.64627445	0.79549956
2001	6	0.991569	0.9474233	0.8721955	0.8041731
2001	7	0.92876244	1.0662079	0.81620836	0.865143
2001	8	1.024597	1.1994419	0.8018968	0.9355092
2001	9	1.1808659	1.3004502	0.88705266	0.9971594
2001	10	1.1128732	1.1291586	0.80563205	0.7567662
2001	11	0.6933032	0.68761814	0.16572523	0.16343653
2001	12	0.53442913	0.55815536	0.12421753	0.103572145
2002	1	0.35614464	0.44203222	0.04074048	0.034651488
2002	2	0.6731877	0.76371104	0.24001098	0.2467705
2002	3	0.4968598	0.54391754	0.20249036	0.21713598
2002	4	1.0245289	0.76491153	0.5908329	0.48133886
2002	5	1.0581063	1.039516	0.534636	0.6288315
2002	6	1.0839834	1.1427501	0.88466036	0.9227115
2002	7	1.2948892	1.5243331	1.0408704	1.3020089
2002	8	0.84127355	0.8645306	0.6803955	0.6556599
2002	9	0.91148967	0.9888391	0.6894189	0.7617408
2002	10	0.8828077	0.93802047	0.35723144	0.39179724
2002	11	0.6531584	0.70066	0.043720216	0.030867431
2002	12	0.56034756	0.5736954	0.057192504	0.06543408
2003	1	0.40212852	0.4197291	0.06294226	0.046216186
2003	2	0.67684424	0.840311	0.2509231	0.3459636
2003	3	0.540294	0.6503405	0.18020472	0.18767151
2003	4	0.8602304	0.801942	0.38354626	0.43010548
2003	5	1.0967543	1.2089466	0.7737354	0.85834026
2003	6	1.1600455	1.2097001	1.0039372	1.0423129
2003	7	0.82467604	1.1384898	0.5855028	0.89146125
2003	8	0.96687263	1.0887977	0.78578055	0.85566163
2003	9	1.0250479	1.0882242	0.8228815	0.7619959
2003	10	1.1425632	1.1995183	0.52909607	0.5946051
2003	11	0.8983473	0.93278104	0.31773815	0.25242543
2003	12	0.5336405	0.45182148	0.09928772	0.08061279
2004	1	0.6767374	0.6217037	0.19124255	0.16513734
2004	2	0.8220461	0.7333051	0.12665173	0.0743628
2004	3	1.4295856	1.3343399	1.1128898	1.0091918
2004	4	1.5985513	1.5963689	1.376961	1.338021
2004	5	1.5472887	1.7544419	1.3295777	1.5003523
2004	6	1.15208	1.4682779	0.9596597	1.2496275
2004	7	1.0993547	1.6583263	0.88684285	1.4757347
2004	8	1.0724707	1.4416757	0.83375156	1.1141672
2004	9	1.0889719	1.367004	0.75954974	1.053835
2004	10	0.4589161	0.4434778	0.10562512	0.112628296
2004	11	0.48337245	0.47753316	0.03524243	0.036097046
2004	12	0.60436565	0.63394564	0.12111182	0.09957544
2005	1	0.6232275	0.69058627	0.14557996	0.09026416
2005	2	0.9042605	1.0820332	0.47075856	0.72581375
2005	3	0.70465076	0.7419284	0.18205127	0.21828394
2005	4	1.1219783	1.1238607	0.72131574	0.63240296
2005	5	1.4395231	1.5240252	1.2803056	1.2917622
2005	6	1.0066954	0.98887026	0.7433076	0.74116236
2005	7	0.9282527	0.9998044	0.7752043	0.797753
2005	8	1.27659	1.4320111	0.98652	1.1329173
2005	9	1.0203788	1.3004942	0.7075918	0.9343613
2005	10	1.0376889	1.2382747	0.38279074	0.6954137
2005	11	0.9331564	1.077694	0.2694735	0.4687112
2005	12	0.7245436	0.7400751	0.0937478	0.0630531
2006	1	0.7242461	0.93075585	0.12295838	0.19651514
2006	2	0.468128	0.51554745	0.07049671	0.11845325
2006	3	1.1714388	0.90073174	0.64291686	0.28014672
2006	4	1.2945727	1.301459	0.87698007	0.7959247
2006	5	1.2568786	1.3836545	0.94488645	0.9614448
2006	6	1.1104032	1.4258873	0.9828268	1.220418
2006	7	0.8897113	1.3530674	0.667343	1.0537925
2006	8	0.8367341	0.84279704	0.7408314	0.71998876
2006	9	0.9718836	1.072098	0.707214	0.7694789
2006	10	1.0511633	1.1276915	0.5090345	0.63019204
2006	11	0.92552984	0.96852964	0.22041139	0.301703
2006	12	0.39393637	0.5881901	0.10449194	0.19740796
2007	1	0.6269807	0.44121546	0.06961536	0.03894568
2007	2	0.81121325	0.8559562	0.24844678	0.21513757
2007	3	0.4270891	0.47603342	0.044014037	0.0690481
2007	4	1.023601	1.2340895	0.26305225	0.63737744
2007	5	1.228092	1.42012	1.0394855	1.1673138
2007	6	1.3273921	1.4859042	1.0922829	1.3139987
2007	7	1.2578957	1.5729884	1.0209349	1.2529438
2007	8	0.9769598	1.3846629	0.7569057	1.1114886
2007	9	1.1359079	1.2400309	0.9772448	1.0104249
2007	10	1.0069916	1.2294979	0.7135093	1.0449915
2007	11	0.86448437	0.8449012	0.09504883	0.10795142
2007	12	0.9098745	1.0931121	0.3700321	0.7092318
2008	1	0.92430484	1.0770327	0.3408634	0.468286
2008	2	0.7846764	0.8229592	0.15712145	0.1645846
2008	3	1.2319248	1.1289923	0.65093315	0.5679042
2008	4	1.6633614	1.7814674	1.2457228	1.352732
2008	5	1.0727001	1.2561412	0.75841653	0.97500783
2008	6	0.87207484	1.2501578	0.7036046	1.0110626
2008	7	0.88778716	1.3504323	0.7493512	1.0660801
2008	8	0.9381751	1.0670501	0.80764663	0.86378247
2008	9	0.91716677	1.0740095	0.67292506	0.76650274
2008	10	0.7613504	0.9268364	0.15174939	0.28962803
2008	11	0.9209681	1.0148537	0.104869634	0.1314635
2008	12	0.63166434	0.6653937	0.11821594	0.14264563
2009	1	0.6512674	0.46975765	0.18968982	0.11313855
2009	2	1.1747541	1.2047789	0.91105914	1.0818539
2009	3	1.3319916	1.2475674	0.97313184	0.99299264
2009	4	1.4690096	1.5680676	1.3596277	1.4284555
2009	5	1.4717255	1.657728	1.2199116	1.4048158
2009	6	1.3932858	1.5824881	1.2193661	1.3638716
2009	7	1.2632376	1.4880809	0.9802666	1.2512006
2009	8	1.0016987	1.4391208	0.6990719	1.0956721
2009	9	0.874799	1.1267427	0.5980936	0.84141827
2009	10	1.0732789	1.2888058	0.65244395	0.9929502
2009	11	0.7902311	0.7823571	0.28655505	0.18711877
2009	12	0.7195025	0.57415044	0.11871948	0.073087156
2010	1	0.44136208	0.5517345	0.03335388	0.030994995
2010	2	0.67160255	0.6044839	0.09181726	0.11705017
2010	3	0.3770068	0.4879578	0.068440184	0.09345288
2010	4	1.1042895	1.2188824	0.5999403	0.7318085
2010	5	1.3015628	1.3453755	1.0439761	1.1104681
2010	6	1.0863162	1.1049657	0.88025355	0.8440969
2010	7	0.928073	1.0920438	0.7791075	0.8255168
2010	8	0.71262324	0.78675264	0.58831483	0.672922
2010	9	0.97613263	1.0752351	0.8476014	0.90715015
2010	10	1.0436021	1.1484501	0.40906358	0.53537846
2010	11	0.88426065	0.91585064	0.13563329	0.11041736
2010	12	0.58211887	0.59452754	0.039691284	0.037202515
2011	1	0.52873385	0.40204567	0.048630737	0.03822302
2011	2	0.67480534	0.917423	0.29289234	0.49269092
2011	3	0.5558027	0.91004133	0.119642824	0.30195802
2011	4	0.83021355	1.0274382	0.3419546	0.4967726
2011	5	0.89541036	1.0744008	0.50483763	0.60115266
2011	6	1.0353892	1.2817156	0.8498679	1.0368706
2011	7	1.0704794	1.3584116	0.8366055	1.0815563
2011	8	0.80980605	1.094352	0.6455189	0.8876772
2011	9	0.85894614	1.0012988	0.66025025	0.7702018
2011	10	1.0737811	1.1852835	0.4304679	0.64877224
2011	11	0.67840546	0.6347372	0.073182866	0.09881018
2011	12	0.77472067	0.7867657	0.13340881	0.120961666
2012	1	0.7527138	0.8059585	0.1513717	0.13452466
2012	2	1.2460184	1.3012725	1.2018647	1.1376792
2012	3	0.88831073	1.0264761	0.2670393	0.27325892
2012	4	0.9675587	1.1711351	0.7268556	0.88219243
2012	5	1.3742709	1.4738475	1.0279858	1.1640401
2012	6	1.3869298	1.2584352	1.2095454	1.0979255
2012	7	1.3562698	1.474884	1.0355403	1.2922723
2012	8	1.067456	1.2151095	0.9461036	1.0266664
2012	9	1.005586	1.0910434	0.8102907	0.8090626
2012	10	1.154032	1.2203302	0.60724306	0.8190117
2012	11	0.9543233	0.98888624	0.14918932	0.12742431
2012	12	0.57063377	0.5047062	0.15703747	0.087543085
2013	1	0.6243458	0.60391736	0.07809326	0.034864016
2013	2	0.5272744	0.6543807	0.14742652	0.20531616
2013	3	0.65078753	0.5688224	0.14129907	0.10982214
2013	4	1.0670506	1.2032871	0.6531154	0.74167264
2013	5	1.2866311	1.2415526	1.0828817	1.1363611
2013	6	0.7236757	0.9672031	0.33994007	0.693713
2013	7	1.0324112	1.3452706	0.7051995	1.080706
2013	8	0.8979028	0.945078	0.7538419	0.79970884
2013	9	0.99544203	1.0790992	0.65836155	0.69826233
2013	10	0.87438506	0.90853643	0.38182545	0.49133033
2013	11	0.6048846	0.69571877	0.058283694	0.082143426
2013	12	0.79635686	0.8596175	0.21701184	0.14736499
2014	1	0.42993695	0.4768608	0.086571045	0.043069825
2014	2	0.8529282	0.9902746	0.26930565	0.2272976
2014	3	0.9670544	0.8648999	0.41838086	0.24056299
2014	4	1.0980145	1.0222702	0.5529345	0.5325298
2014	5	1.2465622	1.0803868	0.9803506	0.8047683
2014	6	1.1397967	1.3392619	1.0002021	1.0693538
2014	7	0.8691145	1.2337335	0.7129637	0.94762665
2014	8	1.0864985	1.3484412	0.7580388	0.9799399
2014	9	1.1186763	1.1812861	0.8269106	0.8304913
2014	10	1.0831623	1.1664392	0.624912	0.73661304
2014	11	0.6179455	0.7149412	0.07926831	0.08044263
2014	12	0.49599874	0.47070262	0.04225134	0.030654907
2015	1	0.4554323	0.5282485	0.07100037	0.07019593
2015	2	0.4400149	0.56385136	0.17172693	0.2061665
2015	3	0.4319616	0.5082623	0.16719422	0.20722938
2015	4	0.6358101	0.33482614	0.23631763	0.12678662
2015	5	1.1224179	1.031092	0.8380325	0.6658217
2015	6	1.0893131	1.0876671	1.0216484	0.9397185
2015	7	0.80572754	0.8217715	0.6175674	0.590906
2015	8	0.8762344	0.89890695	0.6727991	0.7360178
2015	9	0.9991626	1.0067308	0.76710427	0.7278545
2015	10	0.95223445	0.9228799	0.39122656	0.3499177
2015	11	0.7294357	0.7796661	0.24252918	0.25221288
2015	12	0.5008428	0.5010727	0.04955408	0.041921876
2016	1	0.3842228	0.41512078	0.041663818	0.029336914
2016	2	0.4080701	0.51769775	0.08686475	0.07346973
2016	3	0.48709074	0.59721476	0.24676806	0.34400782
2016	4	0.80256623	0.6991779	0.38006288	0.37223938
2016	5	1.213403	1.2203289	0.9250349	0.9119971
2016	6	1.1627096	1.0543307	0.9594498	0.8167157
2016	7	1.1229984	1.3307238	0.955043	1.0781124
2016	8	0.90841305	0.9612655	0.82968056	0.82687736
2016	9	1.0475739	1.1006083	0.8142358	0.8678216
2016	10	1.0387512	1.1325748	0.5334608	0.6052769
2016	11	0.8119915	0.83944446	0.107891485	0.11152282
2016	12	0.4610931	0.4710654	0.028947143	0.021173462
2017	1	0.6061558	0.64021283	0.24618053	0.25433874
2017	2	0.6360414	0.8502957	0.19804162	0.30535948
2017	3	0.76236373	0.8106766	0.31778014	0.34422034
2017	4	0.45295972	0.44353488	0.04753955	0.05161597
2017	5	0.80661905	0.64439255	0.5418127	0.43516505
2017	6	1.0868013	0.9872759	0.9241116	0.8269624
2017	7	0.9367671	0.9674257	0.8489025	0.8116137
2017	8	0.94760126	1.1057734	0.75682175	0.8236886
2017	9	0.9155978	1.023675	0.735837	0.75595844
2017	10	0.9426959	1.0403169	0.524899	0.592139
2017	11	0.78334427	0.8080454	0.16908276	0.1767445
2017	12	0.48373386	0.5925478	0.08300366	0.072364375
2018	1	0.4367979	0.58676714	0.050015625	0.050170287
2018	2	0.5269799	0.6881854	0.12728137	0.1608855
2018	3	0.4960661	0.5827064	0.15506506	0.20620897
2018	4	0.876809	0.7418012	0.41389	0.33792773
2018	5	1.2458999	1.2994152	0.98618424	1.1889126
2018	6	1.3337123	1.3285762	1.1550272	1.0483928
2018	7	1.0506537	1.0217608	0.8869268	0.8574048
2018	8	0.81457156	0.855807	0.65021944	0.70157874
2018	9	0.84295684	0.7550925	0.70385647	0.56730896
2018	10	0.9740846	0.9810484	0.4663098	0.5029376
2018	11	0.6161971	0.6832474	0.18637428	0.24213612
2018	12	0.4495918	0.42075673	0.0307937	0.023171753
2019	1	0.009473389	0.009608642	0.009473389	0.009608642
