date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1979-02-01	0.48290414	0.48290414	0.4094996	0.4094996
1979-02-02	0.23314312	0.23314312	0.09111707	0.09111707
1979-02-03	0.1027685	0.1027685	0.051492188	0.051492188
1979-02-04	0.14134806	0.14134806	0.10858569	0.10858569
1979-02-05	0.18822919	0.18822919	0.1433208	0.1433208
1979-02-06	0.27379665	0.27379665	0.2028764	0.2028764
1979-02-07	0.31705254	0.31705254	0.31753588	0.31753588
1979-02-08	0.16521858	0.16521858	0.04919885	0.04919885
1979-02-09	0.14739019	0.14739019	0.08191064	0.08191064
1979-02-10	0.23973604	0.23973604	0.16220593	0.16220593
1979-02-11	0.16920923	0.16920923	0.095265135	0.095265135
1979-02-12	0.20916018	0.20916018	0.16773656	0.16773656
1979-02-13	0.36721045	0.36721045	0.2927155	0.2927155
1979-02-14	0.2445922	0.2445922	0.11549902	0.11549902
1979-02-15	0.3128034	0.3128034	0.24985301	0.24985301
1979-02-16	0.3948074	0.3948074	0.38201502	0.38201502
1979-02-17	0.3152708	0.3152708	0.30178705	0.30178705
1979-02-18	0.46027014	0.46027014	0.3466729	0.3466729
1979-02-19	0.8880457	0.8880457	0.5806458	0.5806458
1979-02-20	1.9968594	1.9968594	2.3767533	2.3767533
1979-02-21	0.124812365	0.124812365	0.10909167	0.10909167
1979-02-22	0.9479272	0.9479272	0.6967217	0.6967217
1979-02-23	0.78932613	0.78932613	0.1934339	0.1934339
1979-02-24	0.093522675	0.093522675	0.05280725	0.05280725
1979-02-25	0.3726399	0.3726399	0.32495502	0.32495502
1979-02-26	0.2517416	0.2517416	0.21319574	0.21319574
1979-02-27	0.24273744	0.24273744	0.21747865	0.21747865
1979-02-28	0.18417679	0.18417679	0.16014892	0.16014892
1979-03-01	0.18387327	0.18387327	0.16166638	0.16166638
1979-03-02	0.4492145	0.4492145	0.46338952	0.46338952
1979-03-03	0.7910741	0.7910741	0.57140553	0.57140553
1979-03-04	0.7761571	0.7761571	0.674127	0.674127
1979-03-05	0.731468	0.731468	0.65615237	0.65615237
1979-03-06	2.2341597	2.2341597	2.4952574	2.4952574
1979-03-07	2.2893312	2.2893312	2.2360258	2.2360258
1979-03-08	1.1638525	1.1638525	0.38488147	0.38488147
1979-03-09	0.078729354	0.078729354	0.0630592	0.0630592
1979-03-10	0.07573358	0.07573358	0.07307507	0.07307507
1979-03-11	0.09733903	0.09733903	0.099885255	0.099885255
1979-03-12	0.070618875	0.070618875	0.06579089	0.06579089
1979-03-13	0.102155864	0.102155864	0.097423345	0.097423345
1979-03-14	0.1418258	0.1418258	0.11398144	0.11398144
1979-03-15	0.08458598	0.08458598	0.06262085	0.06262085
1979-03-16	0.20629933	0.20629933	0.1879707	0.1879707
1979-03-17	0.5833886	0.5833886	0.5114454	0.5114454
1979-03-18	0.055375915	0.055375915	0.03237097	0.03237097
1979-03-19	0.034534853	0.034534853	0.030549927	0.030549927
1979-03-20	0.031437885	0.031437885	0.029538207	0.029538207
1979-03-21	0.03428758	0.03428758	0.030785888	0.030785888
1979-03-22	0.09160043	0.09160043	0.068050295	0.068050295
1979-03-23	0.14428197	0.14428197	0.057596073	0.057596073
1979-03-24	0.08632835	0.08632835	0.041240238	0.041240238
1979-03-25	0.08714898	0.08714898	0.036485232	0.036485232
1979-03-26	0.11294737	0.11294737	0.06754443	0.06754443
1979-03-27	0.12756647	0.12756647	0.097828	0.097828
1979-03-28	0.1356994	0.1356994	0.102953985	0.102953985
1979-03-29	0.21983361	0.21983361	0.21204913	0.21204913
