date	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1980-03-10	1.1690731	1.0664654	1.0766137	1.0223954
1980-03-11	1.5066806	1.5581504	1.03562	1.1619811
1980-03-12	1.1817609	1.6154974	1.0276136	1.2670467
1980-03-13	1.2525697	1.5929974	0.9630146	1.1218075
1980-03-14	1.3564048	1.4422438	0.83582354	1.0507298
1980-03-15	1.2369548	1.5066522	0.9165792	1.5150542
1980-03-16	1.6945493	1.2665071	1.6166673	1.1817412
1980-03-17	1.3571848	1.1415122	1.1353768	1.1598419
1980-03-18	1.0230808	0.9944478	0.7973519	0.8399822
1980-03-19	1.0410603	0.81663054	0.40798104	0.2800085
1980-03-20	0.79498214	0.73024815	0.64559734	0.69697726
1980-03-21	0.8828763	0.9673663	0.5355984	0.5851978
1980-03-22	1.4034308	1.6686615	1.1893735	1.3214736
1980-03-23	1.3668017	1.4479707	0.9645895	1.1789505
1980-03-24	1.600204	1.9478539	1.3906684	1.9862716
1980-03-25	1.568552	1.4641151	1.1890454	1.2045699
1980-03-26	1.3032936	1.2796448	1.1123391	1.2313175
1980-03-27	1.2242172	1.1274405	0.68308854	0.7869099
1980-03-28	0.9966589	1.2241391	0.7369182	0.9309027
1980-03-29	1.5487317	1.3801546	1.3779855	1.0295126
1980-03-30	1.5364246	1.0844542	1.3719993	0.9769427
