year	month	hanle_pblh	merak_pblh
2001	2	0.6664141	0.8413872
2001	3	0.5813319	0.6141082
2001	4	0.6379302	0.5662605
2001	5	0.97790384	1.0978875
2001	6	0.991569	0.9474233
2001	7	0.92876244	1.0662079
2001	8	1.024597	1.1994419
2001	9	1.1808659	1.3004502
2001	10	1.1128732	1.1291586
2001	11	0.6933032	0.68761814
2001	12	0.53442913	0.55815536
2002	1	0.35614464	0.44203222
2002	2	0.6731877	0.76371104
2002	3	0.4968598	0.54391754
2002	4	1.0245289	0.76491153
2002	5	1.0581063	1.039516
2002	6	1.0839834	1.1427501
2002	7	1.2948892	1.5243331
2002	8	0.84127355	0.8645306
2002	9	0.91148967	0.9888391
2002	10	0.8828077	0.93802047
2002	11	0.6531584	0.70066
2002	12	0.56034756	0.5736954
2003	1	0.40212852	0.4197291
2003	2	0.67684424	0.840311
2003	3	0.540294	0.6503405
2003	4	0.8602304	0.801942
2003	5	1.0967543	1.2089466
2003	6	1.1600455	1.2097001
2003	7	0.82467604	1.1384898
2003	8	0.96687263	1.0887977
2003	9	1.0250479	1.0882242
2003	10	1.1425632	1.1995183
2003	11	0.8983473	0.93278104
2003	12	0.5336405	0.45182148
2004	1	0.6767374	0.6217037
2004	2	0.8220461	0.7333051
2004	3	1.4295856	1.3343399
2004	4	1.5985513	1.5963689
2004	5	1.5472887	1.7544419
2004	6	1.15208	1.4682779
2004	7	1.0993547	1.6583263
2004	8	1.0724707	1.4416757
2004	9	1.0889719	1.367004
2004	10	0.4589161	0.4434778
2004	11	0.48337245	0.47753316
2004	12	0.60436565	0.63394564
2005	1	0.6232275	0.69058627
2005	2	0.9042605	1.0820332
2005	3	0.70465076	0.7419284
2005	4	1.1219783	1.1238607
2005	5	1.4395231	1.5240252
2005	6	1.0066954	0.98887026
2005	7	0.9282527	0.9998044
2005	8	1.27659	1.4320111
2005	9	1.0203788	1.3004942
2005	10	1.0376889	1.2382747
2005	11	0.9331564	1.077694
2005	12	0.7245436	0.7400751
2006	1	0.7242461	0.93075585
2006	2	0.468128	0.51554745
2006	3	1.1714388	0.90073174
