year	month	hanle_pblh_era5	merak_pblh_era5
2001	6	1.2240942	1.2240942
2001	7	1.0025594	1.0025594
2001	8	1.0584065	1.0584065
2001	9	1.2571917	1.2571917
2001	10	1.1414164	1.1414164
2001	11	0.6492134	0.6492134
2001	12	0.40680608	0.40680608
2002	1	0.2495018	0.2495018
2002	2	0.3173996	0.3173996
2002	3	0.12634532	0.12634532
2002	4	0.47035575	0.47035575
2002	5	0.6856974	0.6856974
2002	6	1.1271583	1.1271583
2002	7	1.3071179	1.3071179
2002	8	0.7220322	0.7220322
2002	9	0.7720787	0.7720787
2002	10	0.7895461	0.7895461
2002	11	0.5620172	0.5620172
2002	12	0.59078205	0.59078205
2003	1	0.58171004	0.58171004
2003	2	0.31704098	0.31704098
2003	3	0.24552001	0.24552001
2003	4	0.24987848	0.24987848
2003	5	0.5379664	0.5379664
2003	6	0.90368223	0.90368223
2003	7	1.0857886	1.0857886
2003	8	1.0158914	1.0158914
2003	9	1.0745322	1.0745322
2003	10	1.1038622	1.1038622
2003	11	0.7799472	0.7799472
2003	12	0.37918386	0.37918386
2004	1	0.27026975	0.27026975
2004	2	0.18919542	0.18919542
2004	3	0.64280933	0.64280933
2004	4	0.9144305	0.9144305
2004	5	0.95822597	0.95822597
2004	6	1.3233137	1.3233137
2004	7	1.2850763	1.2850763
2004	8	1.1478082	1.1478082
2004	9	1.0702477	1.0702477
2004	10	0.82412094	0.82412094
2004	11	0.6845587	0.6845587
2004	12	0.574129	0.574129
2005	1	0.16872463	0.16872463
2005	2	0.283617	0.283617
2005	3	0.1704977	0.1704977
2005	4	0.32437602	0.32437602
2005	5	0.6909978	0.6909978
2005	6	0.8954179	0.8954179
2005	7	0.9231469	0.9231469
2005	8	1.2249706	1.2249706
2005	9	0.7340593	0.7340593
2005	10	1.0014361	1.0014361
2005	11	1.0172955	1.0172955
2005	12	0.6512831	0.6512831
2006	1	0.31177926	0.31177926
2006	2	0.15084323	0.15084323
2006	3	0.15008707	0.15008707
2006	4	0.20453323	0.20453323
2006	5	0.5388984	0.5388984
2006	6	1.1017319	1.1017319
2006	7	0.9725992	0.9725992
2006	8	0.55399656	0.55399656
2006	9	0.9282503	0.9282503
2006	10	0.8304523	0.8304523
2006	11	0.47297755	0.47297755
2006	12	0.1645876	0.1645876
2007	1	0.18821153	0.18821153
2007	2	0.3049828	0.3049828
2007	3	0.1472959	0.1472959
2007	4	0.32646734	0.32646734
2007	5	0.76528275	0.76528275
2007	6	1.1838696	1.1838696
2007	7	1.1366558	1.1366558
2007	8	0.96331954	0.96331954
2007	9	1.0034648	1.0034648
2007	10	1.024279	1.024279
2007	11	0.89799416	0.89799416
2007	12	0.61556417	0.61556417
2008	1	0.31900182	0.31900182
2008	2	0.17992985	0.17992985
2008	3	0.26010424	0.26010424
2008	4	0.4622917	0.4622917
2008	5	0.73438776	0.73438776
2008	6	1.0321695	1.0321695
2008	7	0.9744756	0.9744756
2008	8	0.78139794	0.78139794
2008	9	0.61488986	0.61488986
2008	10	0.5466237	0.5466237
2008	11	0.7152179	0.7152179
2008	12	0.33472314	0.33472314
2009	1	0.17694762	0.17694762
2009	2	0.18828456	0.18828456
2009	3	0.23195043	0.23195043
2009	4	0.38458496	0.38458496
2009	5	0.70606697	0.70606697
2009	6	1.0285492	1.0285492
2009	7	1.1650327	1.1650327
2009	8	1.1014662	1.1014662
2009	9	0.39155394	0.39155394
2009	10	0.860471	0.860471
2009	11	0.48432294	0.48432294
2009	12	0.23057924	0.23057924
2010	1	0.23390573	0.23390573
2010	2	0.28509644	0.28509644
2010	3	0.23909585	0.23909585
2010	4	0.6798846	0.6798846
2010	5	1.0832903	1.0832903
2010	6	0.81775296	0.81775296
2010	7	0.9112129	0.9112129
2010	8	0.60341656	0.60341656
2010	9	0.7330098	0.7330098
2010	10	0.82606876	0.82606876
2010	11	0.39919522	0.39919522
2010	12	0.47231698	0.47231698
2011	1	0.21629673	0.21629673
2011	2	0.2696833	0.2696833
2011	3	0.22941333	0.22941333
2011	4	0.2602061	0.2602061
2011	5	0.8003266	0.8003266
2011	6	1.0367802	1.0367802
2011	7	1.0885794	1.0885794
2011	8	0.77811325	0.77811325
2011	9	0.9161587	0.9161587
2011	10	1.1431967	1.1431967
2011	11	0.8757875	0.8757875
2011	12	0.7886854	0.7886854
2012	1	0.4320223	0.4320223
2012	2	0.44018117	0.44018117
2012	3	0.2593168	0.2593168
2012	4	0.37542486	0.37542486
2012	5	0.8314019	0.8314019
2012	6	1.1383318	1.1383318
2012	7	1.3364612	1.3364612
2012	8	0.87813985	0.87813985
2012	9	0.9008829	0.9008829
2012	10	1.1113924	1.1113924
2012	11	0.76648736	0.76648736
2012	12	0.38341677	0.38341677
2013	1	0.1711451	0.1711451
2013	2	0.14635536	0.14635536
2013	3	0.1466211	0.1466211
2013	4	0.40267342	0.40267342
2013	5	0.87227654	0.87227654
2013	6	0.79612315	0.79612315
2013	7	1.0513632	1.0513632
2013	8	0.7265574	0.7265574
2013	9	1.0809542	1.0809542
2013	10	0.88502717	0.88502717
2013	11	0.5394655	0.5394655
2013	12	0.63176453	0.63176453
2014	1	0.2779361	0.2779361
2014	2	0.21959107	0.21959107
2014	3	0.22868608	0.22868608
2014	4	0.25725636	0.25725636
2014	5	0.73808414	0.73808414
2014	6	1.061159	1.061159
2014	7	0.8280849	0.8280849
2014	8	1.1712203	1.1712203
2014	9	1.1256344	1.1256344
2014	10	1.1776365	1.1776365
2014	11	0.6429816	0.6429816
2014	12	0.47544345	0.47544345
2015	1	0.2280808	0.2280808
2015	2	0.19994017	0.19994017
2015	3	0.14780785	0.14780785
2015	4	0.2398562	0.2398562
2015	5	0.7959221	0.7959221
2015	6	1.041571	1.041571
2015	7	0.6775659	0.6775659
2015	8	0.7774566	0.7774566
2015	9	1.0221133	1.0221133
2015	10	0.9439318	0.9439318
2015	11	0.57668114	0.57668114
2015	12	0.39879802	0.39879802
2016	1	0.40792876	0.40792876
2016	2	0.36637422	0.36637422
2016	3	0.4377344	0.4377344
2016	4	0.7970137	0.7970137
2016	5	1.1933571	1.1933571
2016	6	1.0256675	1.0256675
2016	7	1.1135657	1.1135657
2016	8	1.0191555	1.0191555
2016	9	1.1754545	1.1754545
2016	10	1.1994473	1.1994473
2016	11	1.014044	1.014044
2016	12	0.6833679	0.6833679
2017	1	0.4625724	0.4625724
2017	2	0.20242238	0.20242238
2017	3	0.22697872	0.22697872
2017	4	0.39359275	0.39359275
2017	5	0.69059646	0.69059646
2017	6	1.05531	1.05531
2017	7	0.8397559	0.8397559
2017	8	0.90836	0.90836
2017	9	0.97272676	0.97272676
2017	10	1.0674225	1.0674225
2017	11	0.92974544	0.92974544
2017	12	0.43637753	0.43637753
2018	1	0.3651865	0.3651865
2018	2	0.410884	0.410884
2018	3	0.5845206	0.5845206
2018	4	1.0622426	1.0622426
2018	5	1.2625299	1.2625299
2018	6	1.326582	1.326582
2018	7	0.8413809	0.8413809
2018	8	0.67707926	0.67707926
2018	9	0.81325126	0.81325126
2018	10	0.1764028	0.1764028
2018	11	0.21624385	0.21624385
2018	12	0.26187697	0.26187697
