date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1979-03-02	0.18084377	0.18084377	0.2060127	0.2060127
1979-03-03	0.21459526	0.21459526	0.20962104	0.20962104
1979-03-04	0.40663874	0.40663874	0.44679767	0.44679767
1979-03-05	0.46524435	0.46524435	0.44288576	0.44288576
1979-03-06	1.3734546	1.3734546	1.3687613	1.3687613
1979-03-07	2.4233649	2.4233649	2.3562498	2.3562498
1979-03-08	1.3977972	1.3977972	1.3521358	1.3521358
1979-03-09	0.027705852	0.027705852	0.028256591	0.028256591
1979-03-10	0.043735716	0.043735716	0.042353027	0.042353027
1979-03-11	0.064346336	0.064346336	0.06525122	0.06525122
1979-03-12	0.062384766	0.062384766	0.05901245	0.05901245
1979-03-13	0.06932615	0.06932615	0.06980395	0.06980395
1979-03-14	0.066532694	0.066532694	0.06602685	0.06602685
1979-03-15	0.05013194	0.05013194	0.04997461	0.04997461
1979-03-16	0.056904703	0.056904703	0.059450805	0.059450805
1979-03-17	0.12586904	0.12586904	0.09051013	0.09051013
1979-03-18	0.040526345	0.040526345	0.038508546	0.038508546
1979-03-19	0.020320414	0.020320414	0.021006104	0.021006104
1979-03-20	0.019190714	0.019190714	0.01834204	0.01834204
1979-03-21	0.026340026	0.026340026	0.027346069	0.027346069
1979-03-22	0.035310484	0.035310484	0.032472044	0.032472044
1979-03-23	0.05008136	0.05008136	0.040228516	0.040228516
1979-03-24	0.042139467	0.042139467	0.033585083	0.033585083
1979-03-25	0.029577514	0.029577514	0.024682008	0.024682008
1979-03-26	0.034551717	0.034551717	0.026604248	0.026604248
1979-03-27	0.04005422	0.04005422	0.03759802	0.03759802
1979-03-28	0.04842328	0.04842328	0.05651685	0.05651685
1979-03-29	0.07272099	0.07272099	0.06565601	0.06565601
