date	hanle_pblh_avg	merak_pblh_avg	hanle_pblh_median	merak_pblh_median
1984-05-27	2.1747355	2.2443848	2.3935847	2.3794413
1984-05-28	2.2610667	2.168619	2.3412492	2.4341612
1984-05-29	2.901876	3.0101223	3.1336727	3.2001114
1984-05-30	2.712993	2.525616	2.770008	2.6328871
1984-05-31	2.2738464	2.4647098	2.6643293	2.5955994
1984-06-01	2.488205	2.64949	2.7432737	2.8322935
1984-06-02	1.9525919	2.4721928	2.211312	2.6196642
1984-06-03	1.3869078	2.2919405	1.527673	2.353293
1984-06-04	1.8708565	2.1888995	2.110082	2.3036327
1984-06-05	1.875746	2.176931	2.0707986	2.274976
1984-06-06	2.2416558	2.4738085	2.3328552	2.6531253
1984-06-07	2.2472587	2.4145606	2.4504533	2.635991
1984-06-08	2.1895509	2.3272085	2.4177592	2.4964066
1984-06-09	2.1710424	2.3331823	2.491919	2.4477665
1984-06-10	1.9504094	2.371129	2.1256523	2.348106
1984-06-11	2.2855978	2.4625201	2.3501468	2.493813
1984-06-12	2.1902852	2.6348004	2.3311763	2.7946658
1984-06-13	2.002808	2.6377766	2.1336267	2.6720457
1984-06-14	1.6992648	2.3837142	2.0209808	2.4540591
1984-06-15	2.133354	2.6005101	2.2556734	2.677105
1984-06-16	2.2932782	2.9008315	2.5427861	3.0185196
1984-06-17	2.01095	2.550786	2.245181	2.5751486
1984-06-18	2.109935	2.3579698	2.1693006	2.4655814
1984-06-19	2.322195	2.0212536	2.4369392	2.2092443
1984-06-20	2.2134526	2.012984	2.3809524	2.0661733
1984-06-21	2.1910408	2.084073	2.409953	2.1969142
1984-06-22	1.9171278	2.2037594	2.1273732	2.224763
1984-06-23	1.5342622	2.2219994	1.6206771	2.3082247
1984-06-24	2.308345	2.259202	2.2909698	2.33973
1984-06-25	2.2213845	2.3189816	2.211228	2.4101813
1984-06-26	2.2835832	2.8395638	2.6082163	2.8068256
1984-06-27	2.4940805	2.6452384	2.878583	2.7905416
1984-06-28	1.4973502	1.3614482	1.6535392	1.4175711
1984-06-29	1.4406495	1.0843412	1.5512598	1.1891677
1984-06-30	1.6493212	1.77612	1.7487257	1.809581
1984-07-01	1.6214745	1.9117928	1.7243415	1.9035444
1984-07-02	1.5700412	2.0306714	1.6852261	2.1138778
1984-07-03	1.5857376	2.189835	1.6807353	2.2521868
1984-07-04	2.0456169	2.530569	2.2268825	2.6443243
1984-07-05	2.0625935	2.3288455	2.2298205	2.392919
1984-07-06	2.0343273	2.2131133	2.1186438	2.2089891
1984-07-07	2.1362708	2.4229152	2.223483	2.5025716
1984-07-08	2.1807795	2.3162818	2.324965	2.448787
1984-07-09	2.0014231	1.6619182	2.09896	1.7314341
1984-07-10	1.3162314	1.6494607	1.3899715	1.7012467
1984-07-11	1.8735216	2.1907277	1.9256265	2.2397716
1984-07-12	1.392133	2.164346	1.4599764	2.1335208
1984-07-13	1.4320458	2.4768486	1.5583527	2.4887109
1984-07-14	1.9301592	2.733398	2.260542	2.7562723
1984-07-15	2.2295058	2.7750227	2.623745	2.7579308
1984-07-16	1.2573693	2.725171	1.3264718	2.8302526
1984-07-17	1.0586025	1.6385975	1.1187656	1.7647678
1984-07-18	1.0469979	1.4821548	1.1376517	1.5623426
1984-07-19	1.1360359	1.0962886	1.220835	1.1376792
1984-07-20	1.0083652	1.2551122	1.1114628	1.4437191
1984-07-21	1.4574583	1.5412966	1.546979	1.6841549
1984-07-22	1.5601573	2.1268244	1.6704948	2.1205955
1984-07-23	1.6159974	2.3955765	1.7548952	2.4768484
1984-07-24	1.938679	2.135094	1.9159737	2.2961497
1984-07-25	1.7258104	2.4225326	1.9773328	2.4143052
1984-07-26	1.5480912	2.2658348	1.663318	2.3242536
1984-07-27	1.3473936	1.23126	1.4955245	1.3579617
1984-07-28	0.5833413	0.9334259	0.5496189	0.9339361
1984-07-29	0.7414819	1.0091918	0.6986942	1.0423129
1984-07-30	1.0146186	1.1973311	1.1089447	1.3283696
1984-07-31	1.0265378	1.205941	1.1062167	1.2162938
1984-08-01	1.4903412	1.910666	1.6903462	1.9541825
1984-08-02	1.6519654	1.7427224	2.0056622	2.108478
1984-08-03	1.8976749	2.4598203	2.337556	2.4651136
1984-08-04	1.7451372	2.1586485	1.8086159	2.1768034
1984-08-05	1.7969065	2.6978536	2.0032277	2.8233647
