date	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1980-02-19	0.3329089	0.5090999	0.30194354	0.50217295
1980-02-20	1.0258912	1.3424804	0.94298613	1.0797939
1980-02-21	1.1543752	1.6176171	1.0218451	1.574423
1980-02-22	0.8764757	1.1921322	0.81935465	1.3737968
1980-02-23	0.52067024	0.85684866	0.3728378	0.7912307
1980-02-24	0.69494605	0.95844203	0.5786197	1.0317426
1980-02-25	0.6103754	0.97172564	0.31693232	0.74782217
1980-02-26	0.36740953	0.5761087	0.2395161	0.6217169
1980-02-27	0.96857744	1.0450678	0.85817134	0.9358071
1980-02-28	1.5770788	1.820431	1.2820113	1.4872487
1980-02-29	1.075299	0.88995314	0.76874644	0.8249838
1980-03-01	1.1927832	1.1697638	1.0921091	0.9831912
1980-03-02	1.4358236	1.5844598	1.4684031	1.5880618
1980-03-03	0.90885067	1.4356613	0.75777376	1.4742062
1980-03-04	1.8135079	1.993016	1.720505	1.7897544
1980-03-05	1.530765	1.7608616	1.710263	1.6769807
1980-03-06	1.2742802	1.2922024	0.9537395	0.98028004
1980-03-07	0.5534178	0.513337	0.43054712	0.4927896
1980-03-08	0.98383224	1.0827469	0.8204862	1.0212237
1980-03-09	0.9168407	0.95807874	0.65791345	0.8303218
1980-03-10	0.8811257	0.70463526	0.97588855	0.5463207
1980-03-11	1.3160642	1.3095101	0.90778434	1.1138163
1980-03-12	0.6357854	1.2063445	0.4045648	1.1161071
1980-03-13	0.4895836	1.1865851	0.28999835	1.0267675
1980-03-14	0.83226556	0.9593209	0.6167157	0.78563666
1980-03-15	0.929323	1.0716865	0.8471322	0.91040874
1980-03-16	1.3539288	0.6698923	1.1699338	0.4315096
1980-03-17	1.2423302	1.0231986	1.1353768	1.1598419
1980-03-18	0.65309834	0.70295626	0.37701446	0.5890844
1980-03-19	0.4506898	0.33990404	0.12742352	0.0626035
1980-03-20	0.48460186	0.4469279	0.44239542	0.24735306
1980-03-21	0.45973834	0.6609725	0.27739117	0.51495576
1980-03-22	0.64899373	1.0808675	0.2911461	0.98747694
1980-03-23	1.0521638	1.1569726	0.84062743	1.078077
1980-03-24	1.0435361	1.3409882	0.8108649	1.2705271
1980-03-25	1.053682	0.921175	0.7859763	0.72424245
1980-03-26	0.67093635	0.7039487	0.20042953	0.2385436
1980-03-27	0.6449409	0.7147646	0.40293002	0.6857627
1980-03-28	0.77951336	0.9438519	0.65477777	0.76556987
1980-03-29	1.3334175	1.0791854	1.0913073	0.91643107
