year	month	han_pblh_avg	mer_pblh_avg	han_pblh_median	mer_pblh_median
1992	5	1.5727317	1.6316926	1.4249755	1.4551919
1992	6	1.6645359	1.6597638	1.6931002	1.6345798
1992	7	1.5697286	1.5807114	1.5158944	1.4730728
1992	8	1.4829981	1.5190928	1.3915156	1.407444
1992	9	1.2255045	1.3849149	0.99669605	1.2233367
1992	10	1.3258783	1.4475696	1.0569258	1.2614386
1992	11	1.2098751	1.2441183	0.9516224	1.1069455
1992	12	1.1122837	1.1639845	0.8698353	0.9844793
1993	1	1.5766912	1.6940191	1.4979589	1.7414178
1993	2	1.3796391	1.5438734	1.2292792	1.4763821
1993	3	1.5951698	1.7032262	1.5911665	1.7457535
1993	4	1.4121158	1.5301538	1.1775038	1.4006083
1993	5	1.5943545	1.619921	1.4177079	1.4469588
1993	6	1.6624584	1.7244519	1.6385541	1.6463122
1993	7	1.4331462	1.6117984	1.4196224	1.5406171
1993	8	1.413394	1.5524651	1.3006041	1.3996327
1993	9	1.3066295	1.5996583	1.1916912	1.4593668
1993	10	1.2469037	1.470151	0.92620605	1.3165256
1993	11	1.2580944	1.3824818	0.93991476	1.2776494
1993	12	1.1294569	1.3461996	0.8712917	1.2726562
1994	1	1.3500181	1.5656096	1.252311	1.4509006
1994	2	1.6345156	1.7326612	1.592301	1.7503679
1994	3	1.5423092	1.6397989	1.3781149	1.5476804
1994	4	1.6501718	1.78133	1.6040611	1.8119075
1994	5	1.527781	1.5895146	1.3948765	1.4388735
1994	6	1.7372037	1.7459472	1.7411695	1.7118027
1994	7	1.4959456	1.6247947	1.4179145	1.6329622
1994	8	1.401742	1.5587283	1.2667732	1.4878813
1994	9	1.0817455	1.4773744	0.80169	1.3186977
1994	10	1.2855295	1.5296682	1.0460497	1.394582
1994	11	1.3348255	1.2599292	1.1797341	1.0665581
1994	12	1.428766	1.4212466	1.3747833	1.4268717
1995	1	1.2363507	1.2382572	1.1451831	1.1883073
1995	2	1.3343209	1.3327287	1.2809312	1.2436869
