year	month	han_pblh	mer_pblh
1999	6	1.6690471	1.7246237
1999	7	1.5288109	1.5758709
1999	8	1.4179624	1.5669595
1999	9	1.4629862	1.5549246
1999	10	1.4007152	1.5207212
1999	11	1.1195426	1.299582
1999	12	1.1541221	1.2261453
2000	1	1.4039406	1.4066734
2000	2	1.5038502	1.6245067
2000	3	1.6145631	1.6546264
2000	4	1.6235135	1.7066182
2000	5	1.7590954	1.7505563
2000	6	1.6617534	1.712495
2000	7	1.3533276	1.4725083
2000	8	1.5127952	1.6766969
2000	9	1.517172	1.5783864
2000	10	1.270305	1.3745711
2000	11	1.2646793	1.4131154
2000	12	1.2501649	1.3552294
2001	1	1.6432587	1.7028612
2001	2	1.5351336	1.6325871
2001	3	1.5348783	1.5588934
2001	4	1.556985	1.632814
2001	5	1.7701708	1.7560079
2001	6	1.6720297	1.7275355
2001	7	1.4110646	1.5008913
2001	8	1.3739599	1.5553195
2001	9	1.2533897	1.4902258
2001	10	1.2844607	1.3606935
2001	11	1.1093466	1.1536707
2001	12	1.2087493	1.317173
2002	1	1.306943	1.2897629
2002	2	1.2368971	1.4188668
2002	3	1.284178	1.39706
2002	4	1.5974461	1.6762395
2002	5	1.7341605	1.7768738
2002	6	1.7185842	1.7505337
2002	7	1.4720379	1.6720016
2002	8	1.3999071	1.5250871
2002	9	1.298497	1.6243639
2002	10	1.4779435	1.5967329
2002	11	1.3668147	1.3910484
2002	12	1.2896484	1.4794738
2003	1	1.2132493	1.3537656
2003	2	1.260818	1.4974056
2003	3	1.3688143	1.3107287
2003	4	1.5448829	1.570223
2003	5	1.7691106	1.8311529
2003	6	1.7474121	1.8001397
2003	7	1.575647	1.6400895
2003	8	1.2893329	1.4856138
2003	9	1.3758297	1.5677058
2003	10	1.3016553	1.4121695
2003	11	1.2683499	1.3840437
2003	12	1.1947895	1.2666365
2004	1	1.1882458	1.2067648
2004	2	1.2006313	1.2638737
2004	3	1.6332068	1.6414282
2004	4	1.6548284	1.679436
2004	5	1.6996758	1.6953741
2004	6	1.7842505	1.7447448
2004	7	1.6783226	1.8254685
2004	8	1.4244168	1.6822423
2004	9	1.2582994	1.457389
2004	10	1.4127586	1.5024849
2004	11	1.2333829	1.1543074
2004	12	1.3147883	1.485147
2005	1	1.2804955	1.388962
2005	2	1.5277808	1.634728
2005	3	1.2923751	1.3287128
2005	4	1.7211952	1.7835429
2005	5	1.5563776	1.6461114
2005	6	1.7042544	1.7350645
2005	7	1.5144978	1.6500499
2005	8	1.4177063	1.5622709
2005	9	1.3318998	1.5662695
2005	10	1.4583315	1.529047
2005	11	1.4679743	1.4959921
2005	12	1.1782435	1.2515885
2006	1	1.5107936	1.6520568
2006	2	1.2574943	1.2903289
2006	3	1.2880855	1.3703616
2006	4	1.6648239	1.7737218
2006	5	1.7155775	1.7173527
2006	6	1.6323831	1.8236696
2006	7	1.5554662	1.6323392
2006	8	1.2414247	1.3764473
2006	9	1.3032175	1.5074235
2006	10	1.608245	1.607975
2006	11	1.5537901	1.4352326
2006	12	1.3029505	1.4365904
2007	1	1.3847587	1.3929777
2007	2	1.1934173	1.3549123
2007	3	1.1585909	1.2717028
2007	4	1.7589166	1.7618711
2007	5	1.6380892	1.66538
2007	6	1.7981507	1.7441587
2007	7	1.6397793	1.7348468
2007	8	1.3654317	1.5332258
