date	hanle_pblh_era5_avg	merak_pblh_era5_avg	hanle_pblh_era5_median	merak_pblh_era5_median
1995-01-20	0.134096	0.134096	0.052833065	0.052833065
1995-01-21	0.10116103	0.10116103	0.063608944	0.063608944
1995-01-22	0.06799251	0.06799251	0.017640198	0.017640198
1995-01-23	0.09500489	0.09500489	0.065415345	0.065415345
1995-01-24	0.09968689	0.09968689	0.05018585	0.05018585
1995-01-25	0.10651524	0.10651524	0.055667177	0.055667177
1995-01-26	0.086105436	0.086105436	0.03872479	0.03872479
1995-01-27	0.19622603	0.19622603	0.11297247	0.11297247
1995-01-28	0.16906312	0.16906312	0.0745094	0.0745094
1995-01-29	0.09356447	0.09356447	0.042337462	0.042337462
1995-01-30	0.060546435	0.060546435	0.01982025	0.01982025
1995-01-31	0.070590444	0.070590444	0.02418048	0.02418048
1995-02-01	0.08345818	0.08345818	0.03181079	0.03181079
1995-02-02	0.11705236	0.11705236	0.03445807	0.03445807
1995-02-03	0.18709819	0.18709819	0.031717345	0.031717345
1995-02-04	0.16201934	0.16201934	0.027575135	0.027575135
1995-02-05	0.12584022	0.12584022	0.02072345	0.02072345
1995-02-06	0.08881238	0.08881238	0.02106604	0.02106604
1995-02-07	0.1361048	0.1361048	0.052615114	0.052615114
1995-02-08	0.12052233	0.12052233	0.04464215	0.04464215
1995-02-09	0.21066654	0.21066654	0.037665892	0.037665892
1995-02-10	0.24329007	0.24329007	0.12838885	0.12838885
1995-02-11	0.33468264	0.33468264	0.2376737	0.2376737
1995-02-12	0.3307273	0.3307273	0.14975372	0.14975372
1995-02-13	0.40401214	0.40401214	0.076253474	0.076253474
1995-02-14	0.24737513	0.24737513	0.10107538	0.10107538
1995-02-15	0.05548294	0.05548294	0.031530518	0.031530518
1995-02-16	0.05549331	0.05549331	0.048005737	0.048005737
1995-02-17	0.1660032	0.1660032	0.055075437	0.055075437
1995-02-18	0.23029776	0.23029776	0.09799212	0.09799212
1995-02-19	0.24065839	0.24065839	0.15691693	0.15691693
1995-02-20	0.25332367	0.25332367	0.08911602	0.08911602
1995-02-21	0.08532424	0.08532424	0.04137201	0.04137201
1995-02-22	0.12419476	0.12419476	0.033772826	0.033772826
1995-02-23	0.27103952	0.27103952	0.03442688	0.03442688
1995-02-24	0.095137246	0.095137246	0.044611022	0.044611022
1995-02-25	0.10931303	0.10931303	0.05189874	0.05189874
1995-02-26	0.15291487	0.15291487	0.06619391	0.06619391
1995-02-27	0.20728481	0.20728481	0.06541534	0.06541534
1995-02-28	0.564742	0.564742	0.07905646	0.07905646
1995-03-01	0.19876428	0.19876428	0.07706323	0.07706323
1995-03-02	0.44663814	0.44663814	0.052926514	0.052926514
